Entity 1;Entity 2;Users’ Questions;Chatbot answers: theory;Chatbot answers: examples;;;;;;;;;;;;;;;
would;had;How to understand if it’s would or had in a contraction?;"Both would and had can be contracted to 'd, which can be confusing if you are not confident with type 3 conditional sentences. Remember 2 rules:
1. would never appears in the if-clause so if 'd appears in the if clause, it must be abbreviating had.
2. had never appears before have so if 'd appears on a pronoun just before have, it must be abbreviating would.";If I’d known you were in hospital, I’d have visited you. If I had known you were in hospital, I would have visited you. If you had given me your e-mail, I would have written to you.;;;;;;;;;;;;;;;
mixed conditional;modals;Can I use modals in mixed conditional sentences?;In these mixed conditional sentences, you can also use modals in the main clause instead of would to express the degree of certainty, permission, or a recommendation about the outcome.;If you had crashed the car, you might be in trouble. If I had learned to ski, I might be on the slopes right now.;;;;;;;;;;;;;;;
-ing form;use;When shall I use -ing form?;A verb ending in -ing is either a present participle or a gerund. These two forms look identical. The difference is in their functions in a sentence. A present participle is most commonly used as part of the continuous form of a verb, after verbs of perception, after verbs of movement, or as an adjective.;He is painting. She was waiting. They will be coming. I would have been leaving.;;;;;;;;;;;;;;;
present participle;verbs;Can I use present participle after verbs of perception?;Yes, you can. Present participles can be used after verbs of perception in the pattern verb + object + present participle to indicate the action being perceived.;We saw him swimming across the pond. I would like to see you knitting sometime.;;;;;;;;;;;;;;;
passive voice;used;When is the passive voice mostly used?;The passive voice is often used in formal texts. Switching to the active voice will make your writing clearer and easier to read.;A great deal of meaning is conveyed by a few well-chosen words. Our planet is wrapped in a mass of gases. ;;;;;;;;;;;;;;;
passive voice;example;Show me an example of passive voice usage?;If we want to say who or what performs the action while using the passive voice, we use the preposition by. When we know who performed the action and are interested in him, it is always better to switch to the active voice instead.;The house was built by my father. The movie ET was directed by Spielberg.;;;;;;;;;;;;;;;
countable and uncountable nouns;cases;What are the tricky cases of usage of countable and uncountable nouns?;"Some nouns are countable in other languages but uncountable in English. They must follow the rules for uncountable nouns. The most common ones are:
accommodation, advice, baggage, behavior, bread, furniture, information, luggage, news, progress, traffic, travel, trouble, weather, work";I would like to give you some advice. This looks like a lot of trouble to me. We did an hour of work yesterday.;;;;;;;;;;;;;;;
countable or uncountable;hair;Is “hair” countable or uncountable?;Be careful with the noun hair which is normally uncountable in English, so it is not used in the plural. It can be countable only when referring to individual hairs.;She has long blond hair. I washed my hair yesterday. I found a hair in my soup.;;;;;;;;;;;;;;;
the;not use;Do you know, when I should not use “the”?;Do not use the with names of countries (except for the special cases above). Do not use the with the names of languages. Do not use the with the names of meals. Do not use the with people's names. Do not use the with titles when combined with names. Do not use the after the 's possessive case. Do not use the with professions. Do not use the with names of shops. Do not use the with years. Do not use the with uncountable nouns. Do not use the with the names of individual mountains, lakes and islands. Do not use the with most names of towns, streets, stations and airports.;Germany is an important economic power. French is spoken in Tahiti. Lunch is my favourite meal.John is coming over later. Prince Charles is Queen Elizabeth’s son. His brother’s car was stolen. Engineering is a well-paid career. I’ll get the card at Smith’s. 1948 was a wonderful year. Rice is an important food in Asia. She lives near Lake Windermere. Victoria Station is in the centre of London.;;;;;;;;;;;;;;;
relative clause;sentence;How to form a sentence with a relative clause?;A defining or identifying clause tells us which specific person or thing we are talking about in a larger group of people or things. If a defining relative clause is removed, the meaning of the sentence changes significantly. A defining relative clause is not separated from the rest of the sentence by commas or parentheses. A non-defining or non-essential clause gives us more information about the person or thing we are talking about. If a non-defining relative clause is removed from a sentence, we lose some detail, but the overall meaning of the sentence remains the same. Non-defining relative clauses are always set off from the rest of the sentence with commas or parentheses.;The woman who visited me in the hospital was very kind. The umbrella that I bought last week is already broken. The farmer, whose name was Fred, sold us 10 pounds of potatoes. My mother, who is 86, lives in Paris.;;;;;;;;;;;;;;;
